pattern;method;CITL;slope;rmse;brier;auc
11100101;rf_ps;0,004586337;NA;0,026634801;0,000709413;NA
11100101;rf_mean;0,470405103;NA;0,475674162;0,226265908;NA
11100101;rf_draw;0,487102387;NA;0,497469509;0,247475912;NA
11100101;rf_mult;0,484978277;NA;0,488698147;0,238825879;NA
11100101;rf_sur;0,013497511;NA;0,040828188;0,001666941;NA
11111111;log_ps;0,001483593;0,230575128;0,058434312;0,003414569;1
11111111;log_mean;0,086608488;0,128548076;0,107160658;0,011483407;1
11111111;log_draw;0,120925371;0,09149593;0,181364129;0,032892947;0,618571429
11111111;log_mult;0,130910825;0,038569229;0,158548653;0,025137675;0,588571429
11111111;rf_ps;0,001318857;0,074531143;0,071826884;0,005159101;0,994285714
11111111;rf_mean;0,027321048;0,184195619;0,066557521;0,004429904;1
11111111;rf_draw;0,215648037;-0,01658137;0,255080903;0,065066267;0,5
11111111;rf_mult;0,237451743;0,154330012;0,249464211;0,062232392;0,904285714
11111111;rf_sur;0,001668912;0,062365904;0,070683781;0,004996197;0,998571429
